rank,filename,similarity,file
1,07-يوم-بدر-الثاني-وتتويج-نصر-العرب_SONG_B.mp3,0.89418477,/content/SUNO_BACKUP_11082026/abu-tammam_16082026/07-يوم-بدر-الثاني-وتتويج-نصر-العرب_SONG_B.mp3
2,04-ملحمة-الجلاد-وكرامة-الموت_SONG_B.mp3,0.8893628,/content/SUNO_BACKUP_11082026/amrro_bin_kalthoum_11082026/04-ملحمة-الجلاد-وكرامة-الموت_SONG_B.mp3
3,06-وصف-الفرس-وسرعته_SONG_B.mp3,0.87524164,/content/SUNO_BACKUP_11082026/qais_24072026/06-وصف-الفرس-وسرعته_SONG_B.mp3
4,06-مفاخر-الأجداد-والسيادة-التاريخية_SONG_A.mp3,0.87460124,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_24072026/06-مفاخر-الأجداد-والسيادة-التاريخية_SONG_A.mp3
5,03-بهاء-المحبوب-الملكي-وإجلال-قدره_SONG_A.mp3,0.8711806,/content/SUNO_BACKUP_11082026/ibn_zaydoon_adha_21082026/03-بهاء-المحبوب-الملكي-وإجلال-قدره_SONG_A.mp3
6,04-ملحمة-الجلاد-وكرامة-الموت_RETAKE_SONG_J.mp3,0.87086666,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/04-ملحمة-الجلاد-وكرامة-الموت_RETAKE_SONG_J.mp3
7,09-شفى-نفسي-صيحات-الفوارس-والانتصار-على-الأعداء_SONG_A.mp3,0.8693553,/content/SUNO_BACKUP_11082026/antara_mullaq_21072026/09-شفى-نفسي-صيحات-الفوارس-والانتصار-على-الأعداء_SONG_A.mp3
8,07-أيام-الوقائع-الكبرى-وبلوغ-السماء-مجدا_SONG_A.mp3,0.8666088,/content/SUNO_BACKUP_11082026/nabigha_jaadi_21082026/07-أيام-الوقائع-الكبرى-وبلوغ-السماء-مجدا_SONG_A.mp3
9,01-الوداع-والالتحاق-بالرفاق-الحقيقيين_SONG_A.mp3,0.8660977,/content/SUNO_BACKUP_11082026/Lamiyat_Alshanfara_16082026/01-الوداع-والالتحاق-بالرفاق-الحقيقيين_SONG_A.mp3
10,صبر في مجال الموت_SONG_B.mp3,0.86395997,/content/SUNO_BACKUP_11082026/short-poems_16082026/صبر في مجال الموت_SONG_B.mp3
11,صبر في مجال الموت_SONG_A.mp3,0.86344326,/content/SUNO_BACKUP_11082026/short-poems_16082026/صبر في مجال الموت_SONG_A.mp3
12,04-ملحمة-الجلاد-وكرامة-الموت_RETAKE_SONG_F.mp3,0.8625318,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/04-ملحمة-الجلاد-وكرامة-الموت_RETAKE_SONG_F.mp3
13,03-شرف-الثريا-ومقارعة-النوازل_SONG_B.mp3,0.86000764,/content/SUNO_BACKUP_11082026/ara_alanqaa_18082026/03-شرف-الثريا-ومقارعة-النوازل_SONG_B.mp3
14,04-وصف-الجواد-الأغر-والاستعداد-للكريهة_SONG_A.mp3,0.85943335,/content/SUNO_BACKUP_11082026/nabigha_jaadi_21082026/04-وصف-الجواد-الأغر-والاستعداد-للكريهة_SONG_A.mp3
15,09-الفخر-المطلق-والهيمنة-الشاملة_SONG_B.mp3,0.856472,/content/SUNO_BACKUP_11082026/amrro_bin_kalthoum_11082026/09-الفخر-المطلق-والهيمنة-الشاملة_SONG_B.mp3
16,05-الفخر-بالشمائل-والكرم-والفروسية_SONG_B.mp3,0.8562007,/content/SUNO_BACKUP_11082026/antara_13082026/05-الفخر-بالشمائل-والكرم-والفروسية_SONG_B.mp3
17,01-سبيل-المجد-وتفرد-الهمة-والسبق_SONG_B.mp3,0.85328686,/content/SUNO_BACKUP_11082026/sabeel_almajd_20082026/01-سبيل-المجد-وتفرد-الهمة-والسبق_SONG_B.mp3
