rank,filename,similarity,file
1,02-عهد-الصبا-واعتراض-القدر-والوشاة_SONG_A.mp3,0.8842869,/content/SUNO_BACKUP_11082026/majnoon_layla_18082026/02-عهد-الصبا-واعتراض-القدر-والوشاة_SONG_A.mp3
2,03-شواخص-اليمامة-والإنذار-لأبي-هند_SONG_B.mp3,0.87223446,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_24072026/03-شواخص-اليمامة-والإنذار-لأبي-هند_SONG_B.mp3
3,05-التحدي-الشامخ-ورفض-الضيم_SONG_B.mp3,0.85924065,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/05-التحدي-الشامخ-ورفض-الضيم_SONG_B.mp3
4,02-تنزه-عما-ليس-فيه-الجلد-في-الظلام-والجوع_SONG_A.mp3,0.84521127,/content/SUNO_BACKUP_11082026/lamiyat_alshanfara_14082026/02-تنزه-عما-ليس-فيه-الجلد-في-الظلام-والجوع_SONG_A.mp3
5,03-أهوال-الليل-ومكابدة-السرى-والظلام_SONG_B.mp3,0.8429402,/content/SUNO_BACKUP_11082026/sabeel_almajd_20082026/03-أهوال-الليل-ومكابدة-السرى-والظلام_SONG_B.mp3
6,06-ليلة-الرعب_SONG_A.mp3,0.84182274,/content/SUNO_BACKUP_11082026/Lamiyat_Alshanfara_16082026/06-ليلة-الرعب_SONG_A.mp3
7,02-سرى-الخيل-وقصد-البحر_SONG_A.mp3,0.8410882,/content/SUNO_BACKUP_11082026/almutanabi_kafa_bika_21082026/02-سرى-الخيل-وقصد-البحر_SONG_A.mp3
8,05-جوب-الفيافي-والبرق-الهطل_SONG_B.mp3,0.836452,/content/SUNO_BACKUP_11082026/aasha_23072026/05-جوب-الفيافي-والبرق-الهطل_SONG_B.mp3
9,02-تعب-الحياة-ونواح-بنات-الهديل_SONG_B.mp3,0.8361511,/content/SUNO_BACKUP_11082026/ghayra_mujdin_19082026/02-تعب-الحياة-ونواح-بنات-الهديل_SONG_B.mp3
10,03-الوصف-الدقيق-لأعضاء-الناقة-وبنيتها_SONG_B.mp3,0.835652,/content/SUNO_BACKUP_11082026/tarafa_23072026/03-الوصف-الدقيق-لأعضاء-الناقة-وبنيتها_SONG_B.mp3
11,03-مكابدة-السرى-وقرين-الشعر-مسحل-وحكمة-الرشد_SONG_A.mp3,0.8341539,/content/SUNO_BACKUP_11082026/aasha_ariqtu_21082026/03-مكابدة-السرى-وقرين-الشعر-مسحل-وحكمة-الرشد_SONG_A.mp3
12,05-وحشة-القفر-وفراق-الرفاق_SONG_A.mp3,0.8330492,/content/SUNO_BACKUP_11082026/malik_ibn_rayb_17082026/05-وحشة-القفر-وفراق-الرفاق_SONG_A.mp3
13,05-حفظ-الذمار-وتحدي-عمرو-بن-هند_SONG_B.mp3,0.8276411,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_20082026/05-حفظ-الذمار-وتحدي-عمرو-بن-هند_SONG_B.mp3
14,04-سلطان-القدر-وعجز-الأطباء_SONG_A.mp3,0.8268295,/content/SUNO_BACKUP_11082026/ghayra_mujdin_19082026/04-سلطان-القدر-وعجز-الأطباء_SONG_A.mp3
15,03-أهوال-الليل-ومكابدة-السرى-والظلام_SONG_D.mp3,0.82636917,/content/SUNO_BACKUP_11082026/sabeel_almajd_20082026/03-أهوال-الليل-ومكابدة-السرى-والظلام_SONG_D.mp3
16,05-التحدي-الشامخ-ورفض-الضيم_SONG_E.mp3,0.8240533,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/05-التحدي-الشامخ-ورفض-الضيم_SONG_E.mp3
17,04-شدة-المطاعنة-واصطباغ-السيوف-بالدماء_SONG_B.mp3,0.8236912,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_20082026/04-شدة-المطاعنة-واصطباغ-السيوف-بالدماء_SONG_B.mp3
18,08-ملحمة-البرق-والمطر-والسيول-الجارفة_SONG_A.mp3,0.82186544,/content/SUNO_BACKUP_11082026/im_qais_20082026/08-ملحمة-البرق-والمطر-والسيول-الجارفة_SONG_A.mp3
19,06-ليلة-الرعب_SONG_B.mp3,0.82148784,/content/SUNO_BACKUP_11082026/Lamiyat_Alshanfara_16082026/06-ليلة-الرعب_SONG_B.mp3
20,03-التسلل-ليلا-إلى-بيضة-الخدر_SONG_A.mp3,0.8207358,/content/SUNO_BACKUP_11082026/qais_24072026/03-التسلل-ليلا-إلى-بيضة-الخدر_SONG_A.mp3
21,05-ملحمة-الثور-الوحشي-والضواري_SONG_B.mp3,0.818603,/content/SUNO_BACKUP_11082026/amin_almanoon_19082026/05-ملحمة-الثور-الوحشي-والضواري_SONG_B.mp3
22,04-وحشة-الفقد-وغلبة-العوادي-القواهر_SONG_B.mp3,0.81852615,/content/SUNO_BACKUP_11082026/ibn_zaydoon_adha_21082026/04-وحشة-الفقد-وغلبة-العوادي-القواهر_SONG_B.mp3
23,02-تنزه-عما-ليس-فيه-الجلد-في-الظلام-والجوع_SONG_B.mp3,0.81815255,/content/SUNO_BACKUP_11082026/Lamiyat_Alshanfara_16082026/02-تنزه-عما-ليس-فيه-الجلد-في-الظلام-والجوع_SONG_B.mp3
24,05-مثل-الدهر-الثاني-صراع-الثور-الوحشي-والكلاب_SONG_A.mp3,0.8138205,/content/SUNO_BACKUP_11082026/amin_almanoon_17082026/05-مثل-الدهر-الثاني-صراع-الثور-الوحشي-والكلاب_SONG_A.mp3
25,01-الأرق-ورهبة-الفناء-ومصير-الملوك-وحصن-تيماء_SONG_B.mp3,0.8103684,/content/SUNO_BACKUP_11082026/aasha_ariqtu_21082026/01-الأرق-ورهبة-الفناء-ومصير-الملوك-وحصن-تيماء_SONG_B.mp3
26,03-تجرع-مرارة-البين-ووخز-الندم_SONG_A.mp3,0.80858874,/content/SUNO_BACKUP_11082026/ibn_zuraiq_20082026/03-تجرع-مرارة-البين-ووخز-الندم_SONG_A.mp3
27,05-التحدي-الشامخ-ورفض-الضيم_SONG_D.mp3,0.8081067,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/05-التحدي-الشامخ-ورفض-الضيم_SONG_D.mp3
28,06-فرار-الإمبراطور-ومأزق-الجيش-المهزوم_SONG_B.mp3,0.8017907,/content/SUNO_BACKUP_11082026/abu-tammam_16082026/06-فرار-الإمبراطور-ومأزق-الجيش-المهزوم_SONG_B.mp3
29,03-جحيم-النيران-وجمال-الأطلال-المحترقة_RETAKE_B.mp3,0.79979765,/content/SUNO_BACKUP_11082026/abu-tammam_16082026/03-جحيم-النيران-وجمال-الأطلال-المحترقة_RETAKE_B.mp3
30,05-التحدي-الشامخ-ورفض-الضيم_SONG_A.mp3,0.79939425,/content/SUNO_BACKUP_11082026/amrro_bin_kalthoum_11082026/05-التحدي-الشامخ-ورفض-الضيم_SONG_A.mp3
31,02-عهد-الصبا-واعتراض-القدر-والوشاة_SONG_A.mp3,0.7965591,/content/SUNO_BACKUP_11082026/majnoon_layla_19082026/02-عهد-الصبا-واعتراض-القدر-والوشاة_SONG_A.mp3
32,03-جحيم-النيران-وجمال-الأطلال-المحترقة_SONG_A.mp3,0.7952398,/content/SUNO_BACKUP_11082026/New_Abu_Tammam_16082026/03-جحيم-النيران-وجمال-الأطلال-المحترقة_SONG_A.mp3
33,02-تنزه-عما-ليس-فيه-الجلد-في-الظلام-والجوع_SONG_A.mp3,0.795148,/content/SUNO_BACKUP_11082026/Lamiyat_Alshanfara_16082026/02-تنزه-عما-ليس-فيه-الجلد-في-الظلام-والجوع_SONG_A.mp3
34,08-دروع-الكماة-وشهامة-حماية-الظعائن_SONG_B.mp3,0.7943125,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_20082026/08-دروع-الكماة-وشهامة-حماية-الظعائن_SONG_B.mp3
35,04-وعورة-الصحراء-ووصف-الناقة-الجسرة_SONG_B.mp3,0.7938906,/content/SUNO_BACKUP_11082026/antara_mullaq_21072026/04-وعورة-الصحراء-ووصف-الناقة-الجسرة_SONG_B.mp3
36,02-الرحلة-بالناقة-وترقب-كيد-الأراقم_SONG_B.mp3,0.7909204,/content/SUNO_BACKUP_11082026/alharith_bin_heliza_22082026/02-الرحلة-بالناقة-وترقب-كيد-الأراقم_SONG_B.mp3
37,06-فرار-الإمبراطور-ومأزق-الجيش-المهزوم_SONG_A.mp3,0.78514653,/content/SUNO_BACKUP_11082026/abu-tammam_16082026/06-فرار-الإمبراطور-ومأزق-الجيش-المهزوم_SONG_A.mp3
38,06-إنذار-يزيد-بني-شيبان_SONG_A.mp3,0.78157616,/content/SUNO_BACKUP_11082026/aasha_23072026/06-إنذار-يزيد-بني-شيبان_SONG_A.mp3
39,05-التحدي-الشامخ-ورفض-الضيم_SONG_A.mp3,0.78110707,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_24072026/05-التحدي-الشامخ-ورفض-الضيم_SONG_A.mp3
40,04-هول-الفلاة-واعتراض-السحاب-والبرق-العارم_SONG_A.mp3,0.7806421,/content/SUNO_BACKUP_11082026/muallaqat_aassha_21082026/04-هول-الفلاة-واعتراض-السحاب-والبرق-العارم_SONG_A.mp3
41,06-فرار-الإمبراطور-ومأزق-الجيش-المهزوم_SONG_A.mp3,0.7797817,/content/SUNO_BACKUP_11082026/New_Abu_Tammam_16082026/06-فرار-الإمبراطور-ومأزق-الجيش-المهزوم_SONG_A.mp3
42,05-التحدي-الشامخ-ورفض-الضيم_SONG_C.mp3,0.7779608,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/05-التحدي-الشامخ-ورفض-الضيم_SONG_C.mp3
43,01-نذير-الحرب-والتأهب-للكفاح_SONG_A.mp3,0.77411735,/content/SUNO_BACKUP_11082026/short-poems_16082026/01-نذير-الحرب-والتأهب-للكفاح_SONG_A.mp3
44,03-مكابدة-السرى-وقرين-الشعر-مسحل-وحكمة-الرشد_SONG_B.mp3,0.7715391,/content/SUNO_BACKUP_11082026/aasha_ariqtu_21082026/03-مكابدة-السرى-وقرين-الشعر-مسحل-وحكمة-الرشد_SONG_B.mp3
45,04-وحشة-الفقد-وغلبة-العوادي-القواهر_SONG_A.mp3,0.7694675,/content/SUNO_BACKUP_11082026/ibn_zaydoon_adha_21082026/04-وحشة-الفقد-وغلبة-العوادي-القواهر_SONG_A.mp3
46,03-مرارة-الندم-وأهوال-السهاد-وفجيعة-الدهر_SONG_A.mp3,0.76738757,/content/SUNO_BACKUP_11082026/ibn_zuraiq_20082026/03-مرارة-الندم-وأهوال-السهاد-وفجيعة-الدهر_SONG_A.mp3
47,03-تجرع-مرارة-البين-ووخز-الندم_SONG_B.mp3,0.76430744,/content/SUNO_BACKUP_11082026/ibn_zuraiq_20082026/03-تجرع-مرارة-البين-ووخز-الندم_SONG_B.mp3
